Data;Semana;Inrevalo;Volume;TMO;CÉLULA;;
01/03/2026;dom;00:00;0,39;575,2734998;CONSOLIDADO;;
01/03/2026;dom;00:30;0,25;575,2734998;CONSOLIDADO;;
01/03/2026;dom;01:00;0,35;560,4323447;CONSOLIDADO;;
01/03/2026;dom;01:30;0,27;596,5503119;CONSOLIDADO;;
01/03/2026;dom;02:00;0,19;549,3568114;CONSOLIDADO;;
01/03/2026;dom;02:30;0,14;577,5722031;CONSOLIDADO;;
01/03/2026;dom;03:00;0,11;517,7461498;CONSOLIDADO;;
01/03/2026;dom;03:30;0,11;581,7471658;CONSOLIDADO;;
01/03/2026;dom;04:00;0,1;614,3920978;CONSOLIDADO;;
01/03/2026;dom;04:30;0,13;609,0935193;CONSOLIDADO;;
01/03/2026;dom;05:00;0,19;565,1871927;CONSOLIDADO;;
01/03/2026;dom;05:30;0,29;574,1453254;CONSOLIDADO;;
01/03/2026;dom;06:00;0,46;657,3406312;CONSOLIDADO;;
01/03/2026;dom;06:30;0,7;664,8334169;CONSOLIDADO;;
01/03/2026;dom;07:00;1,02;719,2889519;CONSOLIDADO;;
01/03/2026;dom;07:30;1,39;727,845309;CONSOLIDADO;;
01/03/2026;dom;08:00;1,81;726,7524567;CONSOLIDADO;;
01/03/2026;dom;08:30;2,13;707,3969022;CONSOLIDADO;;
01/03/2026;dom;09:00;2,41;707,3969022;CONSOLIDADO;;
01/03/2026;dom;09:30;2,7;740,0493568;CONSOLIDADO;;
01/03/2026;dom;10:00;2,87;732,0761468;CONSOLIDADO;;
01/03/2026;dom;10:30;2,99;697,7273569;CONSOLIDADO;;
01/03/2026;dom;11:00;3,25;696,2079829;CONSOLIDADO;;
01/03/2026;dom;11:30;3,11;683,7472546;CONSOLIDADO;;
01/03/2026;dom;12:00;2,96;673,6041033;CONSOLIDADO;;
01/03/2026;dom;12:30;2,64;673,6770589;CONSOLIDADO;;
01/03/2026;dom;13:00;2,55;668,1705964;CONSOLIDADO;;
01/03/2026;dom;13:30;2,5;660,9475554;CONSOLIDADO;;
01/03/2026;dom;14:00;2,21;666,7678456;CONSOLIDADO;;
01/03/2026;dom;14:30;2,17;660,9160951;CONSOLIDADO;;
01/03/2026;dom;15:00;2,07;649,0519695;CONSOLIDADO;;
01/03/2026;dom;15:30;2,16;650,8853893;CONSOLIDADO;;
01/03/2026;dom;16:00;2,12;659,3994055;CONSOLIDADO;;
01/03/2026;dom;16:30;2,11;662,5992823;CONSOLIDADO;;
01/03/2026;dom;17:00;2,01;666,3279797;CONSOLIDADO;;
01/03/2026;dom;17:30;2,01;638,1785825;CONSOLIDADO;;
01/03/2026;dom;18:00;2,15;668,1148075;CONSOLIDADO;;
01/03/2026;dom;18:30;2,17;658,1208877;CONSOLIDADO;;
01/03/2026;dom;19:00;2,04;638,9872563;CONSOLIDADO;;
01/03/2026;dom;19:30;2,08;633,3749825;CONSOLIDADO;;
01/03/2026;dom;20:00;2,01;646,8363825;CONSOLIDADO;;
01/03/2026;dom;20:30;1,91;648,8602851;CONSOLIDADO;;
01/03/2026;dom;21:00;1,73;617,0969666;CONSOLIDADO;;
01/03/2026;dom;21:30;1,57;666,7919604;CONSOLIDADO;;
01/03/2026;dom;22:00;1,35;666,2765875;CONSOLIDADO;;
01/03/2026;dom;22:30;0,95;621,5585161;CONSOLIDADO;;
01/03/2026;dom;23:00;0,62;575,2734998;CONSOLIDADO;;
01/03/2026;dom;23:30;0,48;460,2187999;CONSOLIDADO;;
02/03/2026;seg;00:00;0,89;594,6111682;CONSOLIDADO;;
02/03/2026;seg;00:30;0,63;594,6111682;CONSOLIDADO;;
02/03/2026;seg;01:00;0,47;563,3158435;CONSOLIDADO;;
02/03/2026;seg;01:30;0,37;548,4664701;CONSOLIDADO;;
02/03/2026;seg;02:00;0,29;563,3158435;CONSOLIDADO;;
02/03/2026;seg;02:30;0,22;532,0205189;CONSOLIDADO;;
02/03/2026;seg;03:00;0,2;532,0205189;CONSOLIDADO;;
02/03/2026;seg;03:30;0,2;563,3158435;CONSOLIDADO;;
02/03/2026;seg;04:00;0,23;563,3158435;CONSOLIDADO;;
02/03/2026;seg;04:30;0,36;598,5989806;CONSOLIDADO;;
02/03/2026;seg;05:00;0,62;631,9409271;CONSOLIDADO;;
02/03/2026;seg;05:30;1,03;646,087203;CONSOLIDADO;;
02/03/2026;seg;06:00;1,58;654,9782318;CONSOLIDADO;;
02/03/2026;seg;06:30;2,31;718,8238422;CONSOLIDADO;;
02/03/2026;seg;07:00;3,2;744,2383802;CONSOLIDADO;;
02/03/2026;seg;07:30;4,21;758,1674893;CONSOLIDADO;;
02/03/2026;seg;08:00;5,84;783,6197628;CONSOLIDADO;;
02/03/2026;seg;08:30;6,82;788,642181;CONSOLIDADO;;
02/03/2026;seg;09:00;7,83;788,4646058;CONSOLIDADO;;
02/03/2026;seg;09:30;8,57;786,3663877;CONSOLIDADO;;
02/03/2026;seg;10:00;9,27;778,5353343;CONSOLIDADO;;
02/03/2026;seg;10:30;9,42;768,1903897;CONSOLIDADO;;
02/03/2026;seg;11:00;9,41;756,6393805;CONSOLIDADO;;
02/03/2026;seg;11:30;8,92;744,135632;CONSOLIDADO;;
02/03/2026;seg;12:00;8,62;740,2200876;CONSOLIDADO;;
02/03/2026;seg;12:30;8,32;740,2220258;CONSOLIDADO;;
02/03/2026;seg;13:00;7,65;742,67338;CONSOLIDADO;;
02/03/2026;seg;13:30;7,3;746,6702511;CONSOLIDADO;;
02/03/2026;seg;14:00;6,78;764,3153667;CONSOLIDADO;;
02/03/2026;seg;14:30;6,44;746,2089632;CONSOLIDADO;;
02/03/2026;seg;15:00;6,26;749,8635685;CONSOLIDADO;;
02/03/2026;seg;15:30;6,17;757,5767352;CONSOLIDADO;;
02/03/2026;seg;16:00;6,02;756,5414726;CONSOLIDADO;;
02/03/2026;seg;16:30;5,97;752,7669869;CONSOLIDADO;;
02/03/2026;seg;17:00;6,06;749,5912508;CONSOLIDADO;;
02/03/2026;seg;17:30;6,22;742,1083445;CONSOLIDADO;;
02/03/2026;seg;18:00;6,69;729,1138131;CONSOLIDADO;;
02/03/2026;seg;18:30;6,72;717,0860086;CONSOLIDADO;;
02/03/2026;seg;19:00;6,51;701,3286898;CONSOLIDADO;;
02/03/2026;seg;19:30;6,05;691,8524439;CONSOLIDADO;;
02/03/2026;seg;20:00;5,66;676,3570998;CONSOLIDADO;;
02/03/2026;seg;20:30;5,38;659,8927518;CONSOLIDADO;;
02/03/2026;seg;21:00;4,81;643,6178147;CONSOLIDADO;;
02/03/2026;seg;21:30;4,12;636,290093;CONSOLIDADO;;
02/03/2026;seg;22:00;3,44;628,5070042;CONSOLIDADO;;
02/03/2026;seg;22:30;2,69;625,9064928;CONSOLIDADO;;
02/03/2026;seg;23:00;1,94;594,6111682;CONSOLIDADO;;
02/03/2026;seg;23:30;1,45;594,6111682;CONSOLIDADO;;
03/03/2026;ter;00:00;0,85;584,8181447;CONSOLIDADO;;
03/03/2026;ter;00:30;0,6;584,8181447;CONSOLIDADO;;
03/03/2026;ter;01:00;0,45;554,0382423;CONSOLIDADO;;
03/03/2026;ter;01:30;0,36;539,4334325;CONSOLIDADO;;
03/03/2026;ter;02:00;0,28;554,0382423;CONSOLIDADO;;
03/03/2026;ter;02:30;0,21;523,25834;CONSOLIDADO;;
03/03/2026;ter;03:00;0,19;523,25834;CONSOLIDADO;;
03/03/2026;ter;03:30;0,19;554,0382423;CONSOLIDADO;;
03/03/2026;ter;04:00;0,23;554,0382423;CONSOLIDADO;;
03/03/2026;ter;04:30;0,34;588,7402793;CONSOLIDADO;;
03/03/2026;ter;05:00;0,6;621,5330965;CONSOLIDADO;;
03/03/2026;ter;05:30;0,99;635,4463885;CONSOLIDADO;;
03/03/2026;ter;06:00;1,52;644,1909854;CONSOLIDADO;;
03/03/2026;ter;06:30;2,23;706,9850825;CONSOLIDADO;;
03/03/2026;ter;07:00;3,09;731,9810526;CONSOLIDADO;;
03/03/2026;ter;07:30;4,06;745,6807544;CONSOLIDADO;;
03/03/2026;ter;08:00;5,63;770,7138384;CONSOLIDADO;;
03/03/2026;ter;08:30;6,57;775,6535393;CONSOLIDADO;;
03/03/2026;ter;09:00;7,56;775,4788887;CONSOLIDADO;;
03/03/2026;ter;09:30;8,27;773,4152275;CONSOLIDADO;;
03/03/2026;ter;10:00;8,95;765,7131486;CONSOLIDADO;;
03/03/2026;ter;10:30;9,09;755,5385814;CONSOLIDADO;;
03/03/2026;ter;11:00;9,07;744,177813;CONSOLIDADO;;
03/03/2026;ter;11:30;8,6;731,8799965;CONSOLIDADO;;
03/03/2026;ter;12:00;8,32;728,0289397;CONSOLIDADO;;
03/03/2026;ter;12:30;8,02;728,030846;CONSOLIDADO;;
03/03/2026;ter;13:00;7,38;730,4418273;CONSOLIDADO;;
03/03/2026;ter;13:30;7,04;734,3728714;CONSOLIDADO;;
